Unnamed: 0.1,Unnamed: 0,verdict,statement_originator,statement_x,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity_GPT3_wNV,Fact_assessment_GPT3_wNV,Offensive Assessment,statement_y,Toxicity_GPT4_without_NV,Fact assessment_GPT4_without_NV,statement_z,Toxicity_GPT4_with_NV,Fact assessment_GPT4_with_NV,statement_w_x,Toxicity_GPT3_without_NV_x,Fact assessment_GPT3_without_NV_x,statement_w_y,Toxicity_GPT3_without_NV_y,Fact assessment_GPT3_without_NV_y,Toxicity,Fact assessment,Source Verification,Fact Assessment,Image assessment
210,10503,half-true,Right to Rise,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",2/2/2016,advertisement,Aaron Sharockman,2/2/2016,https://www.politifact.com/factchecks/2016/feb/02/right-rise/does-john-kasich-have-worst-rating-spending-any-go/,3,'false',,,,,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",1.0,no verdict,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",1.0,False,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",1.0,False,,False,,,
211,5335,mostly-false,Donald Trump,"China has ""had now the worst year in 57 years.""",9/9/2019,speech,Bill McCarthy,9/10/2019,https://www.politifact.com/factchecks/2019/sep/10/donald-trump/trump-wrongly-claims-china-having-its-worst-year-5/,2,False,,,,,"China has ""had now the worst year in 57 years.""",1.0,no verdict,"China has ""had now the worst year in 57 years.""",1.0,False,"China has ""had now the worst year in 57 years.""",1.0,False,1,False,,,
212,12545,pants-fire,John Carter,"""The bill also provides full federal funding for abortions…""",3/21/2010,news,W. Gardner Selby,3/28/2010,https://www.politifact.com/factchecks/2010/mar/29/john-carter/rep-john-carter-says-health-care-law-provides-full/,5,'true',,,,,"""The bill also provides full federal funding for abortions…""",1.0,no verdict,"""The bill also provides full federal funding for abortions…""",5.0,false,"""The bill also provides full federal funding for abortions…""",5.0,false,1,Unverifiable,,,
213,221,false,Viral image,"""Corona is so bad, this guy died twice!""",4/13/2020,social_media,Ciara O'Rourke,4/15/2020,https://www.politifact.com/factchecks/2020/apr/15/viral-image/these-headlines-dont-prove-fake-news-about-covid-1/,8,'false',,,,,"""Corona is so bad, this guy died twice!""",2.0,False,"""Corona is so bad, this guy died twice!""",7.0,false,"""Corona is so bad, this guy died twice!""",7.0,false,3,false,,,
214,2521,half-true,Ted Cruz,Says our national debt is greater than our gross domestic product.,8/28/2012,speech,W. Gardner Selby,8/28/2012,https://www.politifact.com/factchecks/2012/aug/29/ted-cruz/ted-cruz-addressing-delegates-says-national-debt-e/,1,true,,,,,Says our national debt is greater than our gross domestic product.,1.0,No verdict,Says our national debt is greater than our gross domestic product.,1.0,true,Says our national debt is greater than our gross domestic product.,1.0,true,1,True,,,
215,17430,pants-fire,Viral image,Says Joe Biden talked about eating wooden corn dog sticks.,1/17/2020,social_media,Ciara O'Rourke,1/22/2020,https://www.politifact.com/factchecks/2020/jan/22/viral-image/no-joe-biden-didnt-say-you-have-eat-wooden-stick-c/,1,No verdict,,,,,Says Joe Biden talked about eating wooden corn dog sticks.,1.0,false,Says Joe Biden talked about eating wooden corn dog sticks.,1.0,false,Says Joe Biden talked about eating wooden corn dog sticks.,1.0,false,1,false,,,
216,16518,false,Viral image,"A photo shows ""the Lincoln Memorial. His head damaged and defaced.""",6/6/2020,social_media,Ciara O'Rourke,6/8/2020,https://www.politifact.com/factchecks/2020/jun/08/viral-image/photo-showing-damaged-lincoln-memorial-graffiti-wa/,7,No verdict,,,,,"A photo shows ""the Lincoln Memorial. His head damaged and defaced.""",1.0,no verdict,"A photo shows ""the Lincoln Memorial. His head damaged and defaced.""",8.0,true,"A photo shows ""the Lincoln Memorial. His head damaged and defaced.""",8.0,true,1,False,,,
217,10772,false,Facebook posts,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",7/19/2019,social_media,Samantha Putterman,8/7/2019,https://www.politifact.com/factchecks/2019/aug/07/facebook-posts/no-congressional-salaries-have-not-gone-231-over-l/,3,False,,,,,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",1.0,No verdict,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",3.0,false,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",3.0,false,1,'false',,,
218,343,true,Alex Sink,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",7/20/2010,news,Aaron Sharockman,7/21/2010,https://www.politifact.com/factchecks/2010/jul/21/alex-sink/alex-sink-says-house-gop-rushed-through-pro-oil-dr/,3,'true',,,,,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",1.0,No verdict,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",2.0,true,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",2.0,true,1,'true',,,
219,11413,mostly-false,Bernie Sanders,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",7/17/2019,speech,Jon Greenberg,7/22/2019,https://www.politifact.com/factchecks/2019/jul/22/bernie-sanders/do-studies-show-middle-class-families-would-save-3/,1,'no verdict',,,,,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",1.0,No verdict,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",1.0,false,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",1.0,false,1,False,,,
220,4730,half-true,John Garamendi,"""The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.""",4/2/2018,news,Miriam Valverde,4/9/2018,https://www.politifact.com/factchecks/2018/apr/09/john-garamendi/california-lawmaker-says-coast-guard-confiscates-t/,1,False,,,,,"""The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.""",1.0,No verdict,"""The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.""",1.0,false,"""The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.""",1.0,false,1,Unverifiable,,,
221,168,mostly-false,Tennessee Democratic Party,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",4/25/2012,blog,Michael Collins,5/25/2012,https://www.politifact.com/factchecks/2012/may/25/tennessee-democratic-party/tennessee-democrats-accuse-freshman-congressman-st/,2,True,,,,,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",1.0,No verdict,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",1.0,true,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",1.0,true,1,Unclear,,,
222,11965,false,Al Hunt,"""This is not a mosque. It's a cultural center that has a prayer area.""",8/22/2010,television,Robert Farley,8/23/2010,https://www.politifact.com/factchecks/2010/aug/23/al-hunt/ground-zero-mosque-not-even-mosque/,2,true,,,,,"""This is not a mosque. It's a cultural center that has a prayer area.""",1.0,No verdict,"""This is not a mosque. It's a cultural center that has a prayer area.""",1.0,true,"""This is not a mosque. It's a cultural center that has a prayer area.""",1.0,true,1,True,,,
223,6567,true,James Jolly,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""",10/1/2010,statement,Willoughby Mariano,12/17/2010,https://www.politifact.com/factchecks/2010/dec/17/james-jolly/university-system-official-says-out-state-tuition-/,2,'no verdict',,,,,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""",1.0,No verdict,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""",2.0,true,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""",2.0,true,1,True,,,
224,5886,true,Michael Steele,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",5/23/2010,news,Louis Jacobson,5/25/2010,https://www.politifact.com/factchecks/2010/may/25/michael-steele/steele-says-gop-fought-hard-civil-rights-bills-196/,2,'false',,,,,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",1.0,True,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",2.0,true,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",2.0,true,1,False,,,
225,8231,mostly-true,Edward Cox,"New York has ""the biggest outmigration of citizens of any state.""",9/19/2017,news,Dan Clark,9/29/2017,https://www.politifact.com/factchecks/2017/sep/29/edward-cox/new-york-has-most-people-leaving-other-states-coun/,2,'false',,,,,"New York has ""the biggest outmigration of citizens of any state.""",1.0,'no verdict',"New York has ""the biggest outmigration of citizens of any state.""",2.0,false,"New York has ""the biggest outmigration of citizens of any state.""",2.0,false,1,True,,,
226,13949,mostly-true,Bill McRaven,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",1/21/2016,speech,W. Gardner Selby,5/12/2016,https://www.politifact.com/factchecks/2016/may/12/bill-mcraven/bill-mcraven-university-texas-says-ut-students-gra/,1,'false',,,,,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",1.0,No verdict,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",2.0,False,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",2.0,False,1,True,,,
227,12778,pants-fire,Viral image,"Photo shows ""huge charter busses"" Black Lives Matter bought ""to transport members to riots.""",7/24/2020,social_media,Ciara O'Rourke,7/29/2020,https://www.politifact.com/factchecks/2020/jul/29/viral-image/these-buses-are-toronto-raptors-not-blm/,8,False,,,,,"Photo shows ""huge charter busses"" Black Lives Matter bought ""to transport members to riots.""",,false,"Photo shows ""huge charter busses"" Black Lives Matter bought ""to transport members to riots.""",7.0,false,"Photo shows ""huge charter busses"" Black Lives Matter bought ""to transport members to riots.""",7.0,false,,false,,,
228,20943,mostly-true,Joe Donald,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",12/2/2015,news,Tom Kertscher,12/9/2015,https://www.politifact.com/factchecks/2015/dec/09/joe-donald/us-incarcerates-more-people-china-or-russia-state-/,1,true,,,,,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",1.0,True,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",1.0,true,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",1.0,true,1,True,,,
229,6824,false,Josh Mandel,"Says Mike Gibbons said ""military service doesn't count as real work.""",3/26/2022,advertisement,Tom Kertscher,4/1/2022,https://www.politifact.com/factchecks/2022/apr/01/josh-mandel/ohio-us-senate-race-mandel-falsely-claimed-gibbons/,7,'no verdict',,,,,"Says Mike Gibbons said ""military service doesn't count as real work.""",1.0,No verdict,"Says Mike Gibbons said ""military service doesn't count as real work.""",7.0,False,"Says Mike Gibbons said ""military service doesn't count as real work.""",7.0,False,1,False,,,
230,4281,false,Ann Lininger,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,10/22/2011,campaign,Janie Har,11/2/2011,https://www.politifact.com/factchecks/2011/nov/02/ann-lininger/will-countywide-vote-urban-renewal-cost-taxpayers-/,2,'no verdict',,,,,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,1.0,No verdict,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,1.0,true,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,1.0,true,1,'unverified',,,
231,16715,mostly-true,Ron Bergeron,"""There has never been a panther attack in the history of Florida.""",9/2/2015,meeting,Joshua Gillin,9/8/2015,https://www.politifact.com/factchecks/2015/sep/08/ron-bergeron/no-human-has-been-attacked-florida-panther-state-h/,1,'false',,,,,"""There has never been a panther attack in the history of Florida.""",1.0,False,"""There has never been a panther attack in the history of Florida.""",1.0,true,"""There has never been a panther attack in the history of Florida.""",1.0,true,1,False,,,
232,5104,mostly-false,Senate Majority PAC,"Says the Koch brothers ""funded the fight to let flood insurance premiums soar ... Now they’re spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.""",3/26/2014,campaign,Louis Jacobson,4/8/2014,https://www.politifact.com/factchecks/2014/apr/08/senate-majority-pac/democratic-group-assails-koch-brothers-role-louisi/,3,'no verdict',,,,,"Says the Koch brothers ""funded the fight to let flood insurance premiums soar ... Now they’re spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.""",1.0,no verdict,"Says the Koch brothers ""funded the fight to let flood insurance premiums soar ... Now they’re spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.""",2.0,true,"Says the Koch brothers ""funded the fight to let flood insurance premiums soar ... Now they’re spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.""",2.0,true,1,'true',,,
233,15374,pants-fire,J.D. Vance,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t ""believe in transgender rights.""",2/19/2022,news,Jon Greenberg,2/21/2022,https://www.politifact.com/factchecks/2022/feb/21/jd-vance/jd-vance-says-transgender-rights-drives-looming-co/,3,False,,,,,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t ""believe in transgender rights.""",1.0,False,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t ""believe in transgender rights.""",6.0,False,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t ""believe in transgender rights.""",6.0,False,1,False,,,
234,4836,pants-fire,Bloggers,The pipe bombs were never mailed.,10/25/2018,social_media,Ciara O'Rourke,10/29/2018,https://www.politifact.com/factchecks/2018/oct/29/blog-posting/claim-pipe-bombs-werent-mailed-false/,1,'false',,,,,The pipe bombs were never mailed.,1.0,False,The pipe bombs were never mailed.,1.0,true,The pipe bombs were never mailed.,1.0,true,1,False,,,
235,15087,false,Mike Stenhouse,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""",11/14/2014,radio,Katie Mulvaney,12/14/2014,https://www.politifact.com/factchecks/2014/dec/14/mike-stenhouse/mike-stenhouse-according-hud-its-unfair-unjust-wea/,2,'true',,,,,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""",1.0,No verdict,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""",2.0,true,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""",2.0,true,1,False,,,
236,19220,pants-fire,Bloggers,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",5/13/2017,blog,Joshua Gillin,5/15/2017,https://www.politifact.com/factchecks/2017/may/15/blog-posting/liberal-troll-behind-tucker-carlson-death-hoax-spr/,10,False,,,,,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",1.0,False,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",10.0,false,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",10.0,false,1,false,,,
237,6086,false,George Will,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",2/6/2014,news,Katie Sanders,2/6/2014,https://www.politifact.com/factchecks/2014/feb/06/george-will/george-will-says-any-floridian-who-has-ever-reques/,1,true,,,,,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",1.0,False,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",1.0,true,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",1.0,true,1,False,,,
238,20891,false,Debbie Riddle,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""",8/10/2010,news,Meghan Ashford-Grooms,8/23/2010,https://www.politifact.com/factchecks/2010/aug/23/debbie-riddle/debbie-riddle-says-more-81-babies-born-houston-hos/,3,'false',,,,,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""",1.0,No verdict,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""",3.0,false,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""",3.0,false,1,'false',,,
239,14094,half-true,Richard Paglia,"""We already pay the highest electricity prices in the country here in New England.""",11/1/2015,news,Mark Reynolds,11/12/2015,https://www.politifact.com/factchecks/2015/nov/12/richard-paglia/electricity-rates-here-are-high-not-highest/,1,true,,,,,"""We already pay the highest electricity prices in the country here in New England.""",1.0,No verdict,"""We already pay the highest electricity prices in the country here in New England.""",1.0,true,"""We already pay the highest electricity prices in the country here in New England.""",1.0,true,1,'false',,,
240,19969,true,Beto O'Rourke,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",10/16/2018,speech,W. Gardner Selby,10/18/2018,https://www.politifact.com/factchecks/2018/oct/18/beto-orourke/beto-orourke-says-ted-cruz-has-second-worst-bipart/,2,'no verdict',,,,,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",1.0,no verdict,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",2.0,True,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",2.0,True,1,'false',,,
241,13871,half-true,Terral Smith,"Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.",9/9/2012,news,Sue Owen,11/16/2012,https://www.politifact.com/factchecks/2012/nov/16/terral-smith/terral-smith-says-40-years-ago-us-placed-texas-und/,1,False,,,,,"Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.",1.0,true,"Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.",1.0,'false'.,"Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.",1.0,'false'.,1,True,,,
242,5569,true,George LeMieux,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",3/8/2010,news,Amy Sherman,3/10/2010,https://www.politifact.com/factchecks/2010/mar/10/george-lemieux/lemieuxs-plan-would-eliminate-deficit/,3,'false',,,,,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",1.0,No verdict,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",2.0,false,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",2.0,false,1,False,,,
243,2877,mostly-true,AFSCME,"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",1/20/2012,advertisement,Angie Drobnic Holan,1/23/2012,https://www.politifact.com/factchecks/2012/jan/23/afscme/was-mitt-romney-director-company-charged-medicare-/,3,'true',,,,,"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",1.0,True,"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",3.0,true,"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",3.0,true,1,True,,,
244,8419,half-true,Thom Tillis,"""One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.""",4/19/2021,news,Paul Specht,4/27/2021,https://www.politifact.com/factchecks/2021/apr/28/thom-tillis/tillis-doesnt-tell-full-story-about-biden-amnesty-/,3,False,,,,,"""One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.""",1.0,true,"""One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.""",2.0,true,"""One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.""",2.0,true,1,True,,,
245,3851,false,Phil Scott,"""Every county, including Chittenden, has fewer people available for work.""",1/24/2019,speech,Colin Meyn,1/25/2019,https://www.politifact.com/factchecks/2019/jan/26/phil-scott/vermonts-governor-says-entire-state-losing-workers/,1,'no verdict',,,,,"""Every county, including Chittenden, has fewer people available for work.""",1.0,No verdict,"""Every county, including Chittenden, has fewer people available for work.""",1.0,true,"""Every county, including Chittenden, has fewer people available for work.""",1.0,true,1,Unverifiable,,,
246,18003,mostly-false,Viral image,Says a photo depicts a teacher and student with guns guarding a Delaware high school in 1973 after a shooting threat.,5/22/2019,social_media,Samantha Putterman,5/23/2019,https://www.politifact.com/factchecks/2019/may/23/viral-image/viral-photo-two-armed-men-guarding-high-school-was/,1,False,,,,,Says a photo depicts a teacher and student with guns guarding a Delaware high school in 1973 after a shooting threat.,1.0,No verdict,Says a photo depicts a teacher and student with guns guarding a Delaware high school in 1973 after a shooting threat.,1.0,True,Says a photo depicts a teacher and student with guns guarding a Delaware high school in 1973 after a shooting threat.,1.0,True,,False,,,
