Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Fact assessment,Toxicity
10503,half-true,Right to Rise,"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat.""",2/2/2016,advertisement,Aaron Sharockman,2/2/2016,https://www.politifact.com/factchecks/2016/feb/02/right-rise/does-john-kasich-have-worst-rating-spending-any-go/,no verdict,1
5335,mostly-false,Donald Trump,"China has ""had now the worst year in 57 years.""",9/9/2019,speech,Bill McCarthy,9/10/2019,https://www.politifact.com/factchecks/2019/sep/10/donald-trump/trump-wrongly-claims-china-having-its-worst-year-5/,no verdict,1
12545,pants-fire,John Carter,"""The bill also provides full federal funding for abortions…""",3/21/2010,news,W. Gardner Selby,3/28/2010,https://www.politifact.com/factchecks/2010/mar/29/john-carter/rep-john-carter-says-health-care-law-provides-full/,no verdict,1
221,false,Viral image,"""Corona is so bad, this guy died twice!""",4/13/2020,social_media,Ciara O'Rourke,4/15/2020,https://www.politifact.com/factchecks/2020/apr/15/viral-image/these-headlines-dont-prove-fake-news-about-covid-1/,False,2
2521,half-true,Ted Cruz,Says our national debt is greater than our gross domestic product.,8/28/2012,speech,W. Gardner Selby,8/28/2012,https://www.politifact.com/factchecks/2012/aug/29/ted-cruz/ted-cruz-addressing-delegates-says-national-debt-e/,No verdict,1
17430,pants-fire,Viral image,Says Joe Biden talked about eating wooden corn dog sticks.,1/17/2020,social_media,Ciara O'Rourke,1/22/2020,https://www.politifact.com/factchecks/2020/jan/22/viral-image/no-joe-biden-didnt-say-you-have-eat-wooden-stick-c/,false,1
16518,false,Viral image,"A photo shows ""the Lincoln Memorial. His head damaged and defaced.""",6/6/2020,social_media,Ciara O'Rourke,6/8/2020,https://www.politifact.com/factchecks/2020/jun/08/viral-image/photo-showing-damaged-lincoln-memorial-graffiti-wa/,no verdict,1
10772,false,Facebook posts,"Says congressional salaries have gone up 231% over the last 30 years...Now Congress is saying they need a $4,500 raise.",7/19/2019,social_media,Samantha Putterman,8/7/2019,https://www.politifact.com/factchecks/2019/aug/07/facebook-posts/no-congressional-salaries-have-not-gone-231-over-l/,No verdict,1
343,true,Alex Sink,"House Republicans who complained they didn't have enough time to consider a constitutional ban against oil drilling ""shoved through a proposal in just a few days to open state waters to oil drilling.""",7/20/2010,news,Aaron Sharockman,7/21/2010,https://www.politifact.com/factchecks/2010/jul/21/alex-sink/alex-sink-says-house-gop-rushed-through-pro-oil-dr/,No verdict,1
11413,mostly-false,Bernie Sanders,"With Medicare for All, ""study after study has shown that ... the average middle-class families will save $3,000 each and every year on their health care bills.""",7/17/2019,speech,Jon Greenberg,7/22/2019,https://www.politifact.com/factchecks/2019/jul/22/bernie-sanders/do-studies-show-middle-class-families-would-save-3/,No verdict,1
4730,half-true,John Garamendi,"""The Coast Guard confiscated 200 tons of contraband, heroin, and so forth. At the border they collected 20 tons.""",4/2/2018,news,Miriam Valverde,4/9/2018,https://www.politifact.com/factchecks/2018/apr/09/john-garamendi/california-lawmaker-says-coast-guard-confiscates-t/,No verdict,1
168,mostly-false,Tennessee Democratic Party,"Says U.S. Rep. Stephen Fincher ""breaks earmark pledge.""",4/25/2012,blog,Michael Collins,5/25/2012,https://www.politifact.com/factchecks/2012/may/25/tennessee-democratic-party/tennessee-democrats-accuse-freshman-congressman-st/,No verdict,1
11965,false,Al Hunt,"""This is not a mosque. It's a cultural center that has a prayer area.""",8/22/2010,television,Robert Farley,8/23/2010,https://www.politifact.com/factchecks/2010/aug/23/al-hunt/ground-zero-mosque-not-even-mosque/,No verdict,1
6567,true,James Jolly,"""Every student paying out-of-state tuition actually covers more than the cost of instruction.""",10/1/2010,statement,Willoughby Mariano,12/17/2010,https://www.politifact.com/factchecks/2010/dec/17/james-jolly/university-system-official-says-out-state-tuition-/,No verdict,1
5886,true,Michael Steele,"The Republican Party ""fought very hard in the '60s to get the civil rights bill passed, as well as the voting rights bill.""",5/23/2010,news,Louis Jacobson,5/25/2010,https://www.politifact.com/factchecks/2010/may/25/michael-steele/steele-says-gop-fought-hard-civil-rights-bills-196/,True,1
8231,mostly-true,Edward Cox,"New York has ""the biggest outmigration of citizens of any state.""",9/19/2017,news,Dan Clark,9/29/2017,https://www.politifact.com/factchecks/2017/sep/29/edward-cox/new-york-has-most-people-leaving-other-states-coun/,'no verdict',1
13949,mostly-true,Bill McRaven,"University of Texas undergraduate student debt ""is less than $21,000… probably one of the lowest debts across the nation.""",1/21/2016,speech,W. Gardner Selby,5/12/2016,https://www.politifact.com/factchecks/2016/may/12/bill-mcraven/bill-mcraven-university-texas-says-ut-students-gra/,No verdict,1
12778,pants-fire,Viral image,"Photo shows ""huge charter busses"" Black Lives Matter bought ""to transport members to riots.""",7/24/2020,social_media,Ciara O'Rourke,7/29/2020,https://www.politifact.com/factchecks/2020/jul/29/viral-image/these-buses-are-toronto-raptors-not-blm/,false,
20943,mostly-true,Joe Donald,"""We lock up close to 2.4 million people in this country. We're locking up more people than China and Russia.""",12/2/2015,news,Tom Kertscher,12/9/2015,https://www.politifact.com/factchecks/2015/dec/09/joe-donald/us-incarcerates-more-people-china-or-russia-state-/,True,1
6824,false,Josh Mandel,"Says Mike Gibbons said ""military service doesn't count as real work.""",3/26/2022,advertisement,Tom Kertscher,4/1/2022,https://www.politifact.com/factchecks/2022/apr/01/josh-mandel/ohio-us-senate-race-mandel-falsely-claimed-gibbons/,No verdict,1
4281,false,Ann Lininger,Says Measure 3-386 will cost a fortune for elections while Measure 3-388 will cost less.,10/22/2011,campaign,Janie Har,11/2/2011,https://www.politifact.com/factchecks/2011/nov/02/ann-lininger/will-countywide-vote-urban-renewal-cost-taxpayers-/,No verdict,1
16715,mostly-true,Ron Bergeron,"""There has never been a panther attack in the history of Florida.""",9/2/2015,meeting,Joshua Gillin,9/8/2015,https://www.politifact.com/factchecks/2015/sep/08/ron-bergeron/no-human-has-been-attacked-florida-panther-state-h/,False,1
5104,mostly-false,Senate Majority PAC,"Says the Koch brothers ""funded the fight to let flood insurance premiums soar ... Now they’re spending millions to buy a Senate seat for Bill Cassidy so he can fight for them.""",3/26/2014,campaign,Louis Jacobson,4/8/2014,https://www.politifact.com/factchecks/2014/apr/08/senate-majority-pac/democratic-group-assails-koch-brothers-role-louisi/,no verdict,1
15374,pants-fire,J.D. Vance,"Says Joe Biden risks war with Russia because Vladimir Putin doesn’t ""believe in transgender rights.""",2/19/2022,news,Jon Greenberg,2/21/2022,https://www.politifact.com/factchecks/2022/feb/21/jd-vance/jd-vance-says-transgender-rights-drives-looming-co/,False,1
4836,pants-fire,Bloggers,The pipe bombs were never mailed.,10/25/2018,social_media,Ciara O'Rourke,10/29/2018,https://www.politifact.com/factchecks/2018/oct/29/blog-posting/claim-pipe-bombs-werent-mailed-false/,False,1
15087,false,Mike Stenhouse,"""According to HUD, it is patently unfair and socially unjust that wealthy people can live in an exclusive neighborhood.""",11/14/2014,radio,Katie Mulvaney,12/14/2014,https://www.politifact.com/factchecks/2014/dec/14/mike-stenhouse/mike-stenhouse-according-hud-its-unfair-unjust-wea/,No verdict,1
19220,pants-fire,Bloggers,"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",5/13/2017,blog,Joshua Gillin,5/15/2017,https://www.politifact.com/factchecks/2017/may/15/blog-posting/liberal-troll-behind-tucker-carlson-death-hoax-spr/,False,1
6086,false,George Will,"""Any Floridian who has ever requested an absentee ballot henceforth gets one automatically.""",2/6/2014,news,Katie Sanders,2/6/2014,https://www.politifact.com/factchecks/2014/feb/06/george-will/george-will-says-any-floridian-who-has-ever-reques/,False,1
20891,false,Debbie Riddle,"""Over 81 percent of the babies that are born at LBJ Hospital right here in Houston are born of women who are not here legally.""",8/10/2010,news,Meghan Ashford-Grooms,8/23/2010,https://www.politifact.com/factchecks/2010/aug/23/debbie-riddle/debbie-riddle-says-more-81-babies-born-houston-hos/,No verdict,1
14094,half-true,Richard Paglia,"""We already pay the highest electricity prices in the country here in New England.""",11/1/2015,news,Mark Reynolds,11/12/2015,https://www.politifact.com/factchecks/2015/nov/12/richard-paglia/electricity-rates-here-are-high-not-highest/,No verdict,1
19969,true,Beto O'Rourke,"Says ""only one other senator from either party over the last 25 years"" has ""a worse record on bipartisanship"" than Ted Cruz.",10/16/2018,speech,W. Gardner Selby,10/18/2018,https://www.politifact.com/factchecks/2018/oct/18/beto-orourke/beto-orourke-says-ted-cruz-has-second-worst-bipart/,no verdict,1
13871,half-true,Terral Smith,"Says 40 years ago, the U.S. placed Texas under Voting Rights Act for failing to print ballots in Spanish.",9/9/2012,news,Sue Owen,11/16/2012,https://www.politifact.com/factchecks/2012/nov/16/terral-smith/terral-smith-says-40-years-ago-us-placed-texas-und/,true,1
5569,true,George LeMieux,"""If we just froze spending at 2007 levels ... by 2013 we would balance the budget ... and by 2020 we would cut the national debt in half.""",3/8/2010,news,Amy Sherman,3/10/2010,https://www.politifact.com/factchecks/2010/mar/10/george-lemieux/lemieuxs-plan-would-eliminate-deficit/,No verdict,1
2877,mostly-true,AFSCME,"""While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions.""",1/20/2012,advertisement,Angie Drobnic Holan,1/23/2012,https://www.politifact.com/factchecks/2012/jan/23/afscme/was-mitt-romney-director-company-charged-medicare-/,True,1
8419,half-true,Thom Tillis,"""One of (Joe Biden’s) first acts in office was sending an immigration bill to Congress to grant mass amnesty to illegal immigrants.""",4/19/2021,news,Paul Specht,4/27/2021,https://www.politifact.com/factchecks/2021/apr/28/thom-tillis/tillis-doesnt-tell-full-story-about-biden-amnesty-/,true,1
3851,false,Phil Scott,"""Every county, including Chittenden, has fewer people available for work.""",1/24/2019,speech,Colin Meyn,1/25/2019,https://www.politifact.com/factchecks/2019/jan/26/phil-scott/vermonts-governor-says-entire-state-losing-workers/,No verdict,1
18003,mostly-false,Viral image,Says a photo depicts a teacher and student with guns guarding a Delaware high school in 1973 after a shooting threat.,5/22/2019,social_media,Samantha Putterman,5/23/2019,https://www.politifact.com/factchecks/2019/may/23/viral-image/viral-photo-two-armed-men-guarding-high-school-was/,No verdict,1
15439,true,John Cortes,"""Anyone can die of a toothache.""",1/13/2016,meeting,Joshua Gillin,1/26/2016,https://www.politifact.com/factchecks/2016/jan/26/john-cortes/ignoring-toothache-really-could-potentially-kill-y/,True,1
16792,mostly-true,John Nygren,"""Today, property taxes are lower than they were in 2010.""",1/11/2019,social_media,D.L. Davis,2/8/2019,https://www.politifact.com/factchecks/2019/feb/08/john-nygren/wisconsin-state-rep-john-nygren-hits-pay-dirt-prop/,No verdict,1
13086,pants-fire,Instagram posts,A nurse who fainted after receiving the COVID-19 vaccine died from the vaccination.,10/17/2021,social_media,Samantha Putterman,10/20/2021,https://www.politifact.com/factchecks/2021/oct/20/instagram-posts/theres-still-no-evidence-tennessee-nurse-who-faint/,false,1
20045,false,Facebook posts,"""Pete Buttigieg’s dog and pony show. He gets out of [the] car to ride his bike a few feet, pretending to save energy.""",4/3/2021,social_media,Gabrielle Settles,4/6/2021,https://www.politifact.com/factchecks/2021/apr/06/facebook-posts/no-pete-buttigieg-didnt-fake-bike-ride/,No verdict,3
10159,true,Instagram posts,"""The GOP lawyer who helped Kanye West get on the ballot in Wisconsin is actively working for Donald Trump's campaign.""",8/5/2020,social_media,Haley BeMiller,8/6/2020,https://www.politifact.com/factchecks/2020/aug/06/instagram-posts/yes-trump-lawyer-helped-kanye-west-try-get-wiscons/,No verdict,1
13339,half-true,AFSCME,"Says Republican U.S. Senate candidate Tommy Thompson ""supports massive tax cuts for corporations that outsource Wisconsin jobs.""",9/4/2012,advertisement,Dave Umhoefer,9/26/2012,https://www.politifact.com/factchecks/2012/sep/26/afscme/afscme-says-thompson-backs-big-tax-cuts-companies-/,No verdict,
15038,true,Derek Ryan,Says first eight chosen to draw Austin City Council districts are seven Democratic primary voters and one Republican primary voter.,5/22/2013,social_media,Sue Owen,6/4/2013,https://www.politifact.com/factchecks/2013/jun/04/derek-ryan/derek-ryan-says-first-8-chosen-draw-austin-city-co/,No verdict,1
2620,false,Facebook posts,"Quotes Thomas Jefferson as saying that ""freedom is lost gradually from uninterested, uninformed and uninvolved people.""",9/3/2019,social_media,Samantha Putterman,10/4/2019,https://www.politifact.com/factchecks/2019/oct/04/facebook-posts/jefferson-didnt-say-freedom-lost-gradually-uninter/,False,1
10590,mostly-false,Rick Perry,"""I deployed the Texas National Guard"" to the Texas-Mexico border. ""And the policy worked; apprehensions at the border declined 74 percent.""",6/4/2015,speech,Bradley Saacks,7/26/2015,https://www.politifact.com/factchecks/2015/jul/26/rick-perry/rick-perry-says-74-percent-drop-border-apprehensio/,No verdict,1
1189,half-true,Hillary Clinton,"""The state that has the highest per capita number of … guns that end up committing crimes in New York come from Vermont.""",4/11/2016,other,Louis Jacobson,4/12/2016,https://www.politifact.com/factchecks/2016/apr/12/hillary-clinton/look-hillary-clintons-claim-about-vermonts-gun-pip/,False,1
2029,mostly-false,Anthony Weiner,"""We know this now. The banks no longer loan (Donald Trump) money because he's a terrible risk. So he goes to these (Russian) oligarchs and borrows money.""",7/27/2016,other,C. Eugene Emery Jr.,8/8/2016,https://www.politifact.com/factchecks/2016/aug/08/anthony-weiner/anthony-weiner-lacks-collateral-claim-about-donald/,No verdict,1
17847,mostly-false,Ben Carson,"Says Hillary Clinton told her daughter and a government official that Benghazi ""was a terrorist attack, and then tells everybody else that it was a video.""",11/10/2015,speech,Amy Sherman,11/11/2015,https://www.politifact.com/factchecks/2015/nov/11/ben-carson/ben-carson-says-hillary-clinton-gave-conflicting-a/,True,1
2483,pants-fire,Roger Williams,Says Barack Obama is a socialist.,6/5/2012,other,W. Gardner Selby,6/8/2012,https://www.politifact.com/factchecks/2012/jun/08/roger-williams/roger-williams-says-obama-socialist/,False,1
14296,pants-fire,Carrie Madej,"COVID-19 vaccines contain ""RNA-modifying transhumanism nanotechnology.""",10/13/2021,social_media,Tom Kertscher,10/21/2021,https://www.politifact.com/factchecks/2021/oct/21/carrie-madej/transhumanism-nanotechnology-covid-19-vaccine-cons/,false,1
11704,mostly-false,Bob McDonnell,"""Under Gov. Rick Perry’s leadership [Texas] has created more jobs over the last decade than the rest of the states combined.""",6/25/2011,news,Jacob Geiger,7/6/2011,https://www.politifact.com/factchecks/2011/jul/06/bob-mcdonnell/mcdonnell-says-texas-under-gov-perry-has-created-h/,false,1
1998,true,Michele Walsh,"""Within the three miles surrounding the University Circle area, infant mortality exceeds some Third World countries.""",4/4/2013,radio,Tom Feran,4/12/2013,https://www.politifact.com/factchecks/2013/apr/12/michele-walsh/expert-says-infant-mortality-rate-near-university-/,No verdict,1
5825,false,Facebook posts,"Scores of politicians and others are on a ""list"" of sex cases from newly unsealed Ghislaine Maxwell court documents.",7/31/2020,social_media,Tom Kertscher,8/6/2020,https://www.politifact.com/factchecks/2020/aug/06/facebook-posts/no-list-sex-cases-facebook-not-unsealed-ghislaine-/,No verdict,1
10465,mostly-true,Allen Alley,Oregon’s budget has grown by 49 percent in just four years.,11/8/2010,blog,Ian K. Kullgren,11/12/2010,https://www.politifact.com/factchecks/2010/nov/12/allen-alley/allen-alley-says-oregons-budget-has-increased-near/,no verdict,1
82,pants-fire,BlueNC,"A proposed constitutional amendment ""will pave the way for making abortion illegal under North Carolina’s constitution.""",8/14/2018,blog,Paul Specht,8/14/2018,https://www.politifact.com/factchecks/2018/aug/14/bluenc/could-nc-constitutional-amendment-make-abortion-il/,No verdict,1
11053,pants-fire,Facebook posts,"Students in Wilkes County, North Carolina, ""identify themselves as cats or ‘furries’"" and ""have asked for litter boxes to be placed in school restrooms for them to use.""",5/17/2022,social_media,Ciara O'Rourke,5/19/2022,https://www.politifact.com/factchecks/2022/may/19/facebook-posts/no-evidence-north-carolina-students-seeking-litter/,no verdict,1
7323,half-true,John Cornyn,"""All but one of the 50 states already have some form of a balanced budget amendment in their state constitutions.""",12/1/2010,news,,12/25/2010,https://www.politifact.com/factchecks/2010/dec/25/john-cornyn/sen-john-cornyn-says-49-states-have-balanced-budge/,True,1
19274,pants-fire,Bloggers,"""Hillary Clinton furious at ‘special gift’ Melania Trump sent her from her hospital bed""",5/17/2018,blog,Manuela Tobias,5/23/2018,https://www.politifact.com/factchecks/2018/may/23/blog-posting/melania-didnt-send-hillary-clinton-gift-hospital/,No verdict,1
3780,false,Viral image,"Since Israel started training teachers with guns, ""there have only been two school shootings in 44 years and both shooters were killed by teachers.""",8/13/2019,social_media,Ciara O'Rourke,10/2/2019,https://www.politifact.com/factchecks/2019/oct/02/viral-image/security-guards-are-armed-israeli-schools-not-teac/,No verdict,1
20353,mostly-false,Facebook posts,"Requesting a chargeback is ""a better way to get back at"" GoFundMe.",2/6/2022,social_media,Madison Czopek,2/10/2022,https://www.politifact.com/factchecks/2022/feb/10/facebook-posts/requesting-chargeback-probably-isnt-best-way-get-b/,false,1
7476,mostly-false,Alex Lasry,"Says Ron Johnson ""is supporting the Republican plan that phases out Social Security and Medicare.""",3/16/2022,campaign,D.L. Davis,3/18/2022,https://www.politifact.com/factchecks/2022/mar/18/alex-lasry/ron-johnson-has-not-endorsed-plan-phase-out-social/,no verdict,1
16890,false,Facebook posts,Says a photo shows a white man smiling while holding a black man with a bloody face.,12/10/2019,social_media,Miriam Valverde,12/20/2019,https://www.politifact.com/factchecks/2019/dec/20/facebook-posts/facebook-post-gives-wrong-impression-photo-black-m/,No verdict,1
3501,true,Rob Portman,"The Buffett Rule ""will bring in less than $5 billion per year. ... Enough to pay one week’s interest on the national debt.""",4/16/2012,news,Tom Feran,4/23/2012,https://www.politifact.com/factchecks/2012/apr/23/rob-portman/rob-portman-says-buffett-rule-would-raise-just-eno/,no verdict,1
13928,half-true,Priorities USA Action,"Says Donald Trump has said he loves war, ""including with nukes.""",6/19/2016,advertisement,Lauren Carroll,6/19/2016,https://www.politifact.com/factchecks/2016/jun/19/priorities-usa-action/super-pac-ad-says-trump-likes-war-even-nuclear-lac/,false,1
15482,mostly-false,"Reps. Keith Rothfus, Mike Kelly and Bill Shuster","""Obamacare covers 24 million fewer people than it was expected to, and the projected price tag has more than doubled at $2 trillion.""",2/19/2017,news,Anna Orso,2/24/2017,https://www.politifact.com/factchecks/2017/feb/24/reps-keith-rothfus-mike-kelly-and-bill-shuster/bad-math-behind-3-pa-gop-congressmens-obamacare-cl/,No verdict,1
10612,false,Americans for Prosperity,"Says Kay Hagan ""supports waivers for friends of Obama and special treatment for Congress and their staffs.""",10/29/2013,advertisement,Julie Kliegman,11/7/2013,https://www.politifact.com/factchecks/2013/nov/07/americans-prosperity/americans-prosperity-says-sen-kay-hagan-supports-o/,No verdict,1
10037,pants-fire,Alex Jones,"""President Trump is in great danger. Evidence is mounting that he’s being deliberately killed at Walter Reed Military Hospital.""",10/3/2020,social_media,Ciara O'Rourke,10/5/2020,https://www.politifact.com/factchecks/2020/oct/05/alex-jones/evidence-not-mounting-doctors-are-trying-kill-trum/,False,2
6646,mostly-false,Facebook posts,"""United States Navy Seal Team ... helicopter was shot down yesterday in Afghanistan and they lost 30 members of the team.""",6/6/2020,social_media,Madison Czopek,6/15/2020,https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/no-helicopter-transporting-us-soldiers-was-not-rec/,No verdict,1
11359,half-true,Donald Trump,"""As Bernie Sanders said, Hillary Clinton ‘voted for virtually every trade agreement that has cost the workers of this country millions, millions of jobs.’ """,6/28/2016,speech,Linda Qiu,6/29/2016,https://www.politifact.com/factchecks/2016/jun/29/donald-trump/donald-trump-quotes-bernie-sanders-half-true-claim/,False,1
8272,half-true,Winning Our Future,"Mitt Romney ""supervised a company guilty of massive Medicare fraud.""",1/27/2012,advertisement,Eric Stirgus,2/21/2012,https://www.politifact.com/factchecks/2012/feb/21/winning-our-future/was-super-pac-right-romney-claim/,true,1
694,false,Donald Trump,"""The person that shot Ashli Babbitt — boom — right through the head — just boom — there was no reason for that.""",7/7/2021,news,Louis Jacobson,7/8/2021,https://www.politifact.com/factchecks/2021/jul/08/donald-trump/fact-checking-donald-trump-there-being-no-reason-s/,false,2
20292,pants-fire,Jeff Wentworth,"""We don’t have bars on campus in Texas. It’s against the law... no alcohol allowed.""",2/22/2011,news,Ciara O'Rourke,2/26/2011,https://www.politifact.com/factchecks/2011/feb/26/jeff-wentworth/state-sen-jeff-wentworth-says-texas-universities-d/,False,1
20109,mostly-false,Ann Coulter,"Says President Obama was wrong ""about Muslims' historical contributions to mankind, such as algebra (actually that was the ancient Babylonians), the compass (that was the Chinese), pens (the Chinese again) and medical discoveries.""",6/10/2009,news,Catharine Richert,6/19/2009,https://www.politifact.com/factchecks/2009/jun/19/ann-coulter/ann-coulter-criticizes-obama-muslim-history/,False,1
16333,pants-fire,Facebook posts,"Says that the ""28th Amendment"" prohibits Congress from creating laws that apply to U.S. citizens but not to them, and vice-versa.",10/22/2019,social_media,Samantha Putterman,12/11/2019,https://www.politifact.com/factchecks/2019/dec/11/facebook-posts/viral-meme-makes-new-constitutional-amendment/,False,1
15944,mostly-true,Bruce Elfant,"""The United States is about 100th in voter turnout among the industrialized nations, and Texas is near the bottom in terms of voter registration and voter turnout.""",8/5/2015,news,W. Gardner Selby,8/21/2015,https://www.politifact.com/factchecks/2015/aug/21/bruce-elfant/bruce-elfant-says-us-about-100th-voter-turnout-tex/,No verdict,1
16663,false,Donald Trump,"""The birther movement was started by Hillary Clinton in 2008. She was all in!""",9/22/2015,social_media,Jon Greenberg,9/23/2015,https://www.politifact.com/factchecks/2015/sep/23/donald-trump/hillary-clinton-obama-birther-fact-check/,False,1
19344,half-true,John Cornyn,"Says he ""strongly supports legalization for Dreamers.""",9/12/2020,advertisement,Brandon Mulder,10/3/2020,https://www.politifact.com/factchecks/2020/oct/03/john-cornyn/cornyn-dreamers-record/,No verdict,1
6631,mostly-true,David Axelrod,Says Republicans want to cut education by 25 percent.,9/27/2011,speech,Jake Berry,10/17/2011,https://www.politifact.com/factchecks/2011/oct/17/david-axelrod/obama-adviser-axelrod-says-republican-want-deep-ed/,No verdict,1
19382,half-true,Yes on 10 campaign,"California’s rent control measure Proposition 10 would have ""No effect on homeowners""",9/28/2018,advertisement,Chris Nichols,10/5/2018,https://www.politifact.com/factchecks/2018/oct/05/yes-10-campaign/will-californias-rent-control-measure-prop-10-real/,False,
4084,mostly-false,Mark Robinson,"Says N.C. Attorney General Josh Stein has gone after Jan. 6 protesters but he has ""said nothing"" about violent summer protests in North Carolina and was ""derelict in his duty.""",10/21/2021,news,Paul Specht,11/8/2021,https://www.politifact.com/factchecks/2021/nov/08/mark-robinson/mark-robinson-mostly-wrong-about-how-nc-attorney-g/,no verdict,1
4124,mostly-false,Kurt Schaefer,The 2016 and 2017 Missouri budget includes more funding for the University of Missouri than any time in the last 15 years.,11/13/2016,advertisement,Ellen Cagle,12/18/2016,https://www.politifact.com/factchecks/2016/dec/19/kurt-schaefer/schaefers-claims-um-system-funding-fall-short/,No verdict,1
10652,mostly-false,Bloggers,"""Pipe bomber suspect pictured last year with Izzy Hernandez. ... a Democrat Donor/Supporter.""",10/27/2018,social_media,Tessa Weinberg,11/1/2018,https://www.politifact.com/factchecks/2018/nov/01/blog-posting/viral-photo-does-not-show-pipe-bomb-suspect-cesar-/,No verdict,1
7739,half-true,Andrew Gillum,"""In Congress, Ron DeSantis demanded that any new health law eliminate protections for people with pre-existing conditions.""",9/26/2018,advertisement,Amy Sherman,10/18/2018,https://www.politifact.com/factchecks/2018/oct/18/andrew-gillum/fact-checking-attack-ron-desantis-about-pre-existi/,False,1
9444,mostly-false,Facebook posts,"The United States paid for a 274-mile wall between Jordan and Syria, ""approved by the Dems in the house and senate,"" in order ""to keep ISIS out.""",9/16/2019,social_media,Tom Kertscher,11/1/2019,https://www.politifact.com/factchecks/2019/nov/01/facebook-posts/some-truth-claim-facebook-us-paid-jordan-syria-wal/,False,1
11680,half-true,Dan Gelber,"""Florida leads the nation in elected officials charged with crimes.""",2/8/2010,campaign,Robert Farley,2/24/2010,https://www.politifact.com/factchecks/2010/feb/25/dan-gelber/gelber-claims-florida-leads-nation-elected-officia/,no verdict,1
16589,mostly-true,Tammy Baldwin,"Says that after the overdose death of a Tomah VA veteran, she ""brought both parties together to help pass a law"" to ""make the VA accountable and also to stop the overprescribing of"" opioids.",9/26/2018,campaign,D.L. Davis,11/2/2018,https://www.politifact.com/factchecks/2018/nov/02/tammy-baldwin/baldwin-bipartisan-bill-claim-scores-comes-caveat/,No verdict,1
9084,pants-fire,Donald Trump,"""Everywhere Marie Yovanovitch went turned bad,"" including Somalia and Ukraine.",11/15/2019,social_media,Amy Sherman,11/15/2019,https://www.politifact.com/factchecks/2019/nov/15/donald-trump/trump-inaccurately-disparages-yovanovitch-somalia-/,False,2
